Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Kevin Huerter","DET",,"17.42","3700",4.7,1,"","ORL","18","",0,0,18,8.26,2.16,2.92,0.71,"0.39","0.55","7.28","3.24","","42.9","57.1"
"Caris LeVert","DET",,"14.62","3600",4.1,0.9,"","ORL","18","",0,0,16,6.39,2.31,1.71,0.65,"0.6","0.82","5.65","2.35","","33.3","50.0"
"Duncan Robinson","DET",,"20.34","4000",5.1,0.8,"","ORL","18","",0,0,26,12.18,2.08,2.67,0.67,"0.25","1.06","9.02","4.13","","44.4","66.7"
"Sam Hauser","BOS",,"18.09","3700",4.9,0.8,"","PHI","17",13,114,215.5,24,9.17,1.5,3.9,0.6,"0.29","0.2","7.74","3.23","","37.5","50.0"
"Jordan Walsh","BOS",,"8.32","3500",2.4,0.8,"","PHI","17",13,114,215.5,10,3.16,0.47,2.37,0.39,"0.27","0.38","2.32","1.18","","50.0","50.0"
"Isaiah Hartenstein","OKC",,"29.64","5400",5.5,1.3,"","PHO","16","",0,0,23,9.5,3.59,9.5,0.85,"0.81","1.38","6.47","4.06","","66.7","66.7"
"De'Aaron Fox","SA",,"35.78","7000",5.1,1.2,"","POR","16",11.5,116,221,31,19.22,6.46,3.86,1.27,"0.27","2.7","15.07","7.31","","46.7","53.3"
"Jaylin Williams","OKC",,"13.92","3700",3.8,1.1,"","PHO","16","",0,0,13,5.03,1.69,3.88,0.34,"0.46","0.79","3.75","1.59","","50.0","50.0"
"Dylan Harper","SA",,"23.85","4700",5.1,1.1,"","POR","16",11.5,116,221,22,11.94,3.84,3.43,0.81,"0.36","1.25","9.62","4.86","","50.0","50.0"
"Tobias Harris","DET",,"28.52","5200",5.5,1,"","ORL","15","",0,0,29,14.77,2.69,5.51,0.99,"0.45","2.44","11.48","5.44","","45.5","54.5"
"Ron Holland II","DET",,"13.69","3600",3.8,0.9,"","ORL","15","",0,0,15,6.32,0.92,3.17,0.75,"0.27","1.15","5.46","2.34","","40.0","60.0"
"Neemias Queta","BOS",,"31.91","5100",6.3,1.1,"","PHI","14",13,114,215.5,28,11.65,1.94,9.62,0.84,"1.53","1.83","7.53","4.9","","62.5","62.5"
